year,All,CMNN,Injuries,NCD,C_only,MNN,CMNN_check,ncd_share_main_pct,ncd_share_vs_Conly_pct,ncd_share_vs_MNN_pct
2014,29024.337413395147,5012.416132902094,4450.156522997685,19561.764757495348,3360.9983681419258,1651.4177647601691,5012.416132902095,67.39779957377193,71.46393226807598,76.22455021539209
2015,28764.271618275696,4827.9016770461385,4396.409980727671,19539.959960501903,3218.353984239908,1609.5476928062285,4827.901677046137,67.93135671854441,71.95786638867136,76.48955986011661
2016,28498.019776482568,4609.71636527562,4380.75065316612,19507.552758040823,3047.9557483325816,1561.7606169430378,4609.716365275619,68.45230970798556,72.42116524978633,76.65030915625115
2017,28164.781796082072,4479.341016736437,4279.157641024189,19406.283138321432,2958.9139903874698,1520.4270263489677,4479.341016736437,68.90265750619447,72.83450211512039,76.9911327311536
2018,27924.45283110278,4349.5471451979,4197.128768037683,19377.77691786718,2865.789415350348,1483.7577298475517,4349.547145197899,69.39357786192272,73.2876985406759,77.32965081324286
2019,27692.77117472145,4233.217261650725,4116.284527495356,19343.269385575382,2792.151208018248,1441.0660536324788,4233.217261650727,69.84952594138474,73.68385899640555,77.68187864977236
2020,27511.14367857625,4115.5735283812965,4109.28100083447,19286.289149360484,2698.5034761750194,1417.070052206276,4115.573528381296,70.1035528536725,73.9106106065029,77.72767828025839
2021,28452.90214249711,5717.198515717364,3992.623687378524,18743.079939401243,4334.861486085208,1382.337029632156,5717.198515717364,65.87405335853829,69.23785987198993,77.71394122108458
2022,27685.6878770578,4615.659798552076,3969.365648865289,19100.662429640444,3258.423350710839,1357.2364478412385,4615.6597985520775,68.99110657629177,72.54761063707879,78.19402949945004
2023,27286.706881652422,4022.1261980059694,3981.799066568399,19282.78161707805,2688.1657509820207,1333.9604470239497,4022.1261980059703,70.66730954640697,74.29958006813969,78.38993993442783
