population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,cause_group
1,All Population,1,Deaths,12,Lao PDR,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1991,1129.2044278358378,1207.3725400340572,1064.0626888541526,CMNN
1,All Population,1,Deaths,11,Indonesia,3,Both,22,All ages,409,Non-communicable diseases,1,Number,1996,680217.0608158648,725722.0205795638,631461.281091452,NCD
1,All Population,1,Deaths,11,Indonesia,3,Both,22,All ages,409,Non-communicable diseases,3,Rate,1996,336.7978022982864,359.3288020701877,312.65721482048,NCD
1,All Population,1,Deaths,66,Brunei Darussalam,3,Both,22,All ages,409,Non-communicable diseases,1,Number,1995,818.588727714922,841.6202016218863,792.6524038994567,NCD
1,All Population,1,Deaths,66,Brunei Darussalam,3,Both,22,All ages,409,Non-communicable diseases,3,Rate,1995,274.4494883557549,282.1712856586451,265.75377760384424,NCD
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,687,Injuries,1,Number,1990,12762.964996224187,15439.57015853929,9762.386887183817,Injuries
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,687,Injuries,3,Rate,1990,123.81593803394318,149.78219109634549,94.7067621234193,Injuries
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,409,Non-communicable diseases,1,Number,1996,66842.03896562949,69853.83103018197,63760.57865187479,NCD
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,409,Non-communicable diseases,3,Rate,1996,313.07978300584426,327.1866418123763,298.64660679966227,NCD
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,687,Injuries,1,Number,1997,11952.098256523312,14509.127034080571,9291.989777069695,Injuries
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,687,Injuries,3,Rate,1997,100.17935707534603,121.61170254816156,77.88302454001953,Injuries
1,All Population,1,Deaths,69,Singapore,3,Both,22,All ages,294,All causes,1,Number,1993,14548.073519070991,14773.796306117136,14351.82937137406,All
1,All Population,1,Deaths,69,Singapore,3,Both,22,All ages,294,All causes,3,Rate,1993,439.06267403737417,445.8750159149245,433.1400011735721,All
1,All Population,1,Deaths,69,Singapore,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,1993,1838.309465835106,1948.718071671156,1723.4995877603635,CMNN
1,All Population,1,Deaths,69,Singapore,3,Both,22,All ages,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Rate,1993,55.48040905345383,58.81255455378881,52.01543260778765,CMNN
1,All Population,1,Deaths,10,Cambodia,3,Both,22,All ages,294,All causes,1,Number,1994,111144.11079421428,114475.09845202224,108092.61214644564,All
