population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,2013,3956533.9847852616,4319221.84164114,3596355.7057379293
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,2013,8233274.289472293,8988002.700358769,7483768.136887655
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,2014,4365195.286439341,4772375.781436318,3950755.85619883
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,2014,4031256.94410746,4407288.047013878,3648522.2160051153
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,2014,8396452.2305468,9179663.828450195,7599278.072203945
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,2015,4433301.09618132,4850990.381314975,4016829.833668408
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,2015,4088447.695537272,4473646.164625297,3704372.502687169
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,2015,8521748.791718593,9324636.54594027,7721202.336355577
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,2016,4471989.7657107655,4871654.280627973,4084127.1543211904
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,2016,4119882.933853849,4488079.441569397,3762559.094341455
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,2016,8591872.699564613,9359733.722197372,7846686.248662645
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,2017,4478376.329864549,4858772.390345384,4113971.999683512
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,2017,4122853.963361182,4473051.733732084,3787378.396706802
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,2017,8601230.293225732,9331824.12407747,7901350.396390312
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,2018,4456418.047563296,4788433.141710979,4128820.146255324
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,2018,4100821.893578021,4406344.120745119,3799364.393039331
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,2018,8557239.941141319,9194777.262456097,7928184.539294655
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,2019,4412241.172294808,4715897.510263444,4092423.170185042
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,2019,4059048.677761514,4338397.835931951,3764831.569517451
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,2019,8471289.850056322,9054295.346195396,7857254.739702492
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,2020,4350135.217112786,4669346.77782115,3995270.787860543
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,2020,4000983.582014167,4294574.505017923,3674601.369871946
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,2020,8351118.799126953,8963921.282839073,7669872.157732489
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,2021,4272140.878672543,4596192.965607321,3931037.066068128
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,2021,3928496.300798383,4226482.125925207,3614830.3651326457
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,2021,8200637.179470926,8822675.091532528,7545867.431200772
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,2022,4180960.110785319,4535025.781293451,3846964.686030758
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,2022,3844067.1022659857,4169602.902650937,3536984.3292698087
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,2022,8025027.213051304,8704628.683944384,7383949.015300565
1,All Population,44,Population,20,Vietnam,1,Male,1,<5 years,1,Number,2023,4090443.465677906,4469076.175397453,3714649.635366868
1,All Population,44,Population,20,Vietnam,2,Female,1,<5 years,1,Number,2023,3760175.832896007,4108237.2537609,3414724.0766882487
1,All Population,44,Population,20,Vietnam,3,Both,1,<5 years,1,Number,2023,7850619.298573913,8577313.429158352,7129373.712055117
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,1990,4660718.677686822,5031896.24691454,4284481.961793226
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,1990,4457033.748348871,4811989.940104928,4097239.507144429
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,1990,9117752.426035693,9843886.187019467,8381721.468937655
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,1991,4729272.530804786,5124924.655825652,4354490.438297873
