location_name,year,CMNN,Injuries,NCD,cmnn_share_pct,ncd_share_pct,injuries_share_pct,cmnn_ncd_ratio
Brunei Darussalam,2023,2332.399851335401,2165.679864244976,19508.416546552216,9.715702890864943,81.26307285134496,9.021224257790088,0.1195586451503986
Cambodia,1990,35828.33844479089,8714.356459440443,26477.274419059184,50.448259533451015,37.28145009262366,12.270290373925336,1.353173211023583
Cambodia,1991,35351.368517199364,8612.808304043538,26423.620877107955,50.22371728221812,37.54005913119661,12.236223586585279,1.3378699566426926
Cambodia,1992,34786.101256786045,8322.337561721159,26387.840948386747,50.054623604984904,37.97014895890465,11.97522743611045,1.3182625029772561
Cambodia,1993,34301.39312108128,8266.152292011386,26277.03433269598,49.82439176437788,38.168632054585814,12.006976181036302,1.3053753588319041
Cambodia,1994,33997.71137385751,8403.163517675146,26140.385913388047,49.601817904430426,38.138174883867,12.260007211702572,1.3005818462857988
Cambodia,1995,33507.40109078523,7988.100272895932,26007.08412012747,49.63869287469354,38.52753777315035,11.833769352156121,1.2883951517214915
Cambodia,1996,32873.625004039,7776.223667125711,25692.89773764797,49.55119705395888,38.72751601105715,11.721286934983974,1.2794829660598799
Cambodia,1997,32182.11290385522,7262.302461023963,25334.11576258543,49.68021402110914,39.10881479040568,11.210971188485182,1.2703073280885226
Cambodia,1998,31541.98082373172,6897.53740294755,25198.58269360892,49.56461674310579,39.59669180758892,10.838691449305294,1.2517363062539095
Cambodia,1999,30203.39575739039,6369.867072453488,24744.025519400668,49.25755291943289,40.354076616151474,10.388370464415631,1.2206338751836996
Cambodia,2000,29008.45940361984,6092.968882017451,24223.727102395475,48.897401471402645,40.83213426741728,10.270464261180075,1.197522548078541
Cambodia,2001,27278.8025519902,5741.629534798727,24077.31213032201,47.77562218266294,42.16858732416713,10.055790493169933,1.132967102155741
Cambodia,2002,25565.061917878844,5464.774183704669,23817.76673667207,46.61108342924242,43.42535590280975,9.963560667947826,1.0733609998168498
Cambodia,2003,23919.91660638153,5109.486141779913,23356.341097248263,45.66111856112837,44.585300088842516,9.75358135002913,1.0241294433398929
Cambodia,2004,22064.260683746543,4912.9298651747695,23113.917536534496,44.048258317833074,46.143753691976585,9.807987990190343,0.9545876699123444
Cambodia,2005,20235.60021560275,4771.461993818583,22959.011521857865,42.1873183303867,47.8651049291242,9.947576740489103,0.8813794181137841
Cambodia,2006,18633.379738732216,4537.580431144134,22533.5599356132,40.769227410603904,49.3026945335035,9.928078055892612,0.8269168205989086
Cambodia,2007,17018.793631219727,4494.087252331401,22472.59647117539,38.69184707027159,51.090945972786095,10.217206956942308,0.7573131859973984
Cambodia,2008,15569.885571558894,4352.4893900626885,22214.12124675816,36.95106848599929,52.71943148025774,10.329500033742963,0.7009003596678892
Cambodia,2009,14423.341338858498,4269.91498506518,21966.43749101457,35.473315181629346,54.025093231135365,10.501591587235284,0.6566081252255129
Cambodia,2010,13511.39588671265,4303.156855533733,21768.48484728605,34.13430779826176,54.994477869587854,10.871214332150409,0.6206860965060303
Cambodia,2011,12548.347285298983,4204.945712528942,21503.165925787664,32.800597960081795,56.20793594284762,10.991466097070585,0.583558129468293
Cambodia,2012,11681.846049000418,4080.7060982622456,21479.92111053337,31.366998556023766,57.675871744197174,10.957129699779067,0.543849578817673
Cambodia,2013,10949.646526961596,4084.960522753299,21429.1742701793,30.028828965655308,58.768381924470916,11.202789109873788,0.5109691296971276
Cambodia,2014,10386.428603431534,3928.7606148883847,21167.55320240042,29.27177522041341,59.65591089723525,11.072313882351336,0.49067686303269586
Cambodia,2015,9851.14133299368,3854.737761447109,21062.15568334924,28.333903241740405,60.57908023263896,11.08701652562063,0.46771762022353364
Cambodia,2016,9316.663140579058,3814.508759790549,20996.036099007382,27.299810581484245,61.522864980313294,11.17732443820246,0.4437343837973072
Cambodia,2017,8917.126523819927,3697.343207037335,20714.85177257319,26.754599618543455,62.15203561957028,11.093364761886264,0.4304702066768516
Cambodia,2018,8442.235637721746,3645.9011673130462,20668.548078202504,25.772558083378954,63.097191159229006,11.130250757392051,0.4084580883852751
Cambodia,2019,8087.470898514337,3620.336623389173,20628.91375375928,25.010175984047944,63.79407973338651,11.195744282565546,0.3920454074825209
Cambodia,2020,7806.0145778807155,3650.433960978885,20721.01294699006,24.25926166150019,64.39604614584752,11.344692192652293,0.3767197384534533
Cambodia,2021,9154.728378416925,3529.368493247323,20164.171727062865,27.869744035068177,61.38579775204418,10.744458212887626,0.454009641572836
Cambodia,2022,8137.847426604349,3601.931175603004,20747.41682597904,25.049399676845685,63.86336694357513,11.087233379579182,0.392234247514345
Cambodia,2023,8268.580924567246,3695.5971093660346,21112.17183803536,24.99846856310665,63.828602369233565,11.172929067659785,0.39164994430704186
Indonesia,1990,24421.307630940188,3031.129716880884,24263.37501431135,47.22212900753362,46.916743460221824,5.86112753224457,1.0065090951500228
Indonesia,1991,23284.87592244692,2996.715949250108,24101.907823230336,46.21528092220091,47.836906862698406,5.94781221510069,0.9661009449220477
Indonesia,1992,22169.78591664017,3028.092840325104,23983.63901448469,45.07747406183102,48.765552795540756,6.15697314262823,0.9243712308733024
Indonesia,1993,21111.25523812428,2915.7454134630457,23869.999586218823,44.07636205463386,49.83610553417855,6.087532411187588,0.8844262925883214
Indonesia,1994,20099.875867213825,2896.239339174796,23740.928547801792,43.006305604024604,50.79681263681379,6.196881759161588,0.8466339396432285
Indonesia,1995,19167.408136738213,2867.156236917336,23619.990110315583,41.98356188859034,51.73632812167367,6.280109989736,0.8114909467454523
Indonesia,1996,18328.866324591327,2872.189686478529,23543.94237636803,40.96293884265093,52.618042741907814,6.419018415441251,0.7784960577795468
Indonesia,1997,17616.259459850557,2881.754735790843,23518.61548173056,40.02182717980044,53.43120464723131,6.546968172968258,0.74903471565046
Indonesia,1998,17053.308772059634,2847.199192775366,23410.653441245384,39.37393553631547,54.052241226574,6.5738232371105445,0.7284422374137902
Indonesia,1999,16498.143614467404,2922.550369044545,23331.56653397973,38.59010825338077,54.57387808636187,6.836013660257359,0.7071168406304722
Indonesia,2000,16002.89592739176,2893.4299820678566,23261.38617113337,37.95959300827092,55.177060194026964,6.863346797702115,0.6879596860504744
Indonesia,2001,15495.884368780944,2896.8318636657773,23191.019624235,37.26429107328761,55.76944722850975,6.966261698202643,0.6681846947594959
Indonesia,2002,15027.066381021656,2863.1279290281245,23195.074313772955,36.57531491058188,56.455939295778656,6.968745793639472,0.647855927415536
Indonesia,2003,14523.505850585552,2872.861047350985,23321.573835616884,35.66856670287731,57.275916746936204,7.055516550186483,0.6227498175275437
Indonesia,2004,14452.047475050158,7514.104318803229,24238.58519692702,31.278281008144017,52.45909137360426,16.262627618251734,0.5962413795043778
Indonesia,2005,13648.797799995777,2909.071746470697,23637.51888336948,33.95612863356395,58.80654424979754,7.237327116638513,0.577420915762804
Indonesia,2006,13265.95954078728,3081.480188019096,23793.01279251817,33.04885398025785,59.27440100451826,7.6767450152238945,0.5575569456659489
Indonesia,2007,12817.298877055136,2914.0191074046697,23953.47501169139,32.29775919027274,60.35932961528741,7.342911194439856,0.5350914166232321
Indonesia,2008,12325.47704786508,2887.6265333391543,24137.579691347262,31.32214239457067,61.33967109075355,7.338186514675786,0.5106343388804415
Indonesia,2009,11852.33360600008,2935.929473402617,24262.209987524988,30.351318883350388,62.13038686098004,7.518294255669569,0.48851005790874985
Indonesia,2010,11382.426528501632,2915.97939199622,24302.27095737885,29.487634542039004,62.9581471699717,7.554218287989303,0.46836884291447706
Indonesia,2011,10882.660980265213,2890.8720944551496,24255.78588809954,28.616502417266155,63.781804538266066,7.601693044467786,0.4486624770877658
Indonesia,2012,10381.555619853656,2843.2133307610984,24255.01646945117,27.699079659873345,64.71492885459669,7.585991485529954,0.42801684480111857
Indonesia,2013,9947.757828992371,2801.6648919920844,24149.427677467367,26.959533214643873,65.44764245143153,7.5928243339246,0.41192520012696326
Indonesia,2014,9568.63809890275,2762.982345405686,24010.07896989761,26.329638550591138,66.06757349523403,7.6027879541748415,0.398525890352103
Indonesia,2015,9217.971188222127,2713.294777413906,23946.45958393572,25.69274123992555,66.744642301389,7.562616458685444,0.384940878458957
Indonesia,2016,8901.826138843237,2685.6410952583115,23786.581127654896,25.16484980120955,67.24302766932104,7.592122529469397,0.374237310148525
Indonesia,2017,8614.512486322976,2645.9567933361727,23597.072724269925,24.71348233719969,67.69574493121205,7.5907727315882605,0.36506699737645115
Indonesia,2018,8267.183042982182,2753.855469417552,23505.708593985542,23.94428591117775,68.07970794804027,7.976006140781973,0.3517095862022864
Indonesia,2019,7968.284330922737,2613.848965014553,23386.276327793963,23.457925817509803,68.8471335185963,7.694940663893925,0.34072480027325447
Indonesia,2020,9608.670083828936,2646.498299312664,23551.47156917076,26.834883408847798,65.77403409126589,7.391082499886327,0.40798597470260983
Indonesia,2021,13869.081228715862,2706.5930494729937,24222.380683168667,33.99446675056487,59.37141049030708,6.63412275912806,0.5725730022215789
Indonesia,2022,8516.1643086522,2521.6914241561,23367.416716455173,24.752497807453082,67.91812723155869,7.329374960988233,0.3644461179423045
Indonesia,2023,8449.741744900313,2519.7670767846043,23349.78177004672,24.620968555032032,68.03690101820537,7.342130426762604,0.3618766902455468
Lao PDR,1990,61762.59999040621,5523.928187072944,27124.474725324875,65.41885806889553,28.73020505168182,5.850936879422644,2.2770063057752528
Lao PDR,1991,60239.143843547696,5183.142100320789,27198.19839810989,65.03868369024013,29.365208561949675,5.596107747810204,2.2148211054940297
Lao PDR,1992,58738.73302537341,5276.216108239488,27378.146378575453,64.27042731859312,29.956471246697458,5.77310143470941,2.145460551388495
Lao PDR,1993,57203.62220701936,5291.393322240132,27597.82155149181,63.4940846137935,30.63264788382182,5.873267502384669,2.0727586088738663
Lao PDR,1994,55595.99070204566,5324.015559990095,27776.35396346192,62.68125384254877,31.31622751243067,6.002518645020557,2.001558259776598
Lao PDR,1995,52695.816981139535,5342.963943141854,27676.321106420142,61.47786764841613,32.28873378288345,6.233398568700419,1.9040036708099748
Lao PDR,1996,50465.42514581135,5290.239165157071,27658.861450226057,60.49956489627198,33.158327279123995,6.342107824604044,1.8245662510955922
Lao PDR,1997,48006.137992131225,5179.998432002262,27616.284364523,59.41175712754217,34.177545790063675,6.4106970823941705,1.738327189801169
Lao PDR,1998,45665.65613375203,5169.113657818552,27670.85428493615,58.16864291053735,35.246970660305614,6.584386429157041,1.6503160930095369
Lao PDR,1999,43231.42642679938,4964.941547525172,27554.43700012703,57.07058352895393,36.375107841323,6.55430862972307,1.5689460984668304
Lao PDR,2000,40979.138202470975,4804.7467050767045,27229.556088990343,56.12547175309,37.29389509293426,6.580633153975753,1.5049506524654643
Lao PDR,2001,38439.81710815163,4639.73446218232,27086.11042283925,54.784371751372696,38.60308540304887,6.612542845578434,1.419170804078936
Lao PDR,2002,35944.67221437719,4505.269752039187,26869.923397343027,53.393856360454706,39.91381036214614,6.692333277399168,1.3377288681787423
